Institution Name,State
Beth Medrash Govoha,NJ
Bethany College,WV
Bethany College,KS
Bethany Global University,MN
Bethany Lutheran College,MN
Bethel College-North Newton,KS
Bethel University,MN
Bethel University,TN
Bethel University,IN
Bethesda University,CA
Bethune-Cookman University,FL
Beulah Heights University,GA
Beverly Hills Design Institute,CA
Binghamton University,NY
Biola University,CA
Bismarck State College,ND
Black Hills State University,SD
Blackburn College,IL
Bloomfield College,NJ
Bloomsburg University of Pennsylvania,PA
Bluefield State University,WV
Bluefield University,VA
Bluffton University,OH
Bob Jones University,SC
Boise State University,ID
Boricua College,NY
Boston Architectural College,MA
Bowdoin College,ME
Bowie State University,MD
Bowling Green State University-Firelands,OH
Bradley University,IL
Brandeis University,MA
Brazosport College,TX
Brenau University,GA
Brescia University,KY
Brevard College,NC
Bridgewater College,VA
Bridgewater State University,MA
Broadview College,UT
Brookline College-Albuquerque,NM
Brookline College-Phoenix,AZ
Brookline College-Tempe,AZ
Brookline College-Tucson,AZ
Broward College,FL
Bryan College of Health Sciences,NE
Bryan College-Dayton,TN
Bryan University,AZ
Bryan University,MO
Bryant & Stratton College-Albany,NY
Bryant & Stratton College-Buffalo,NY
Bryant & Stratton College-Greece,NY
Bryant & Stratton College-Parma,OH
Bryant & Stratton College-Syracuse North,NY
Bryant & Stratton College-Virginia Beach,VA
Bryant & Stratton College-Wauwatosa,WI
Bryant University,RI
Bryn Athyn College of the New Church,PA
Bryn Mawr College,PA
Buena Vista University,IA
Bushnell University,OR
Butler University,IN
Cairn University-Langhorne,PA
Caldwell University,NJ
California Aeronautical University,CA
California Baptist University,CA
California Christian College,CA
California College of the Arts,CA
California Institute of Arts & Technology,CA
California Institute of the Arts,CA
California Intercontinental University,--
California Jazz Conservatory,CA
California Lutheran University,CA
California Miramar University,CA
California Northstate University,CA
California Polytechnic State University-San Luis Obispo,CA
California State Polytechnic University-Humboldt,CA
California State Polytechnic University-Pomona,CA
California State University Maritime Academy,CA
California State University-Bakersfield,CA
California State University-Channel Islands,CA
California State University-Chico,CA
California State University-Dominguez Hills,CA
California State University-East Bay,CA
California State University-Fresno,CA
California State University-Fullerton,CA
California State University-Long Beach,CA
California State University-Los Angeles,CA
California State University-Monterey Bay,CA
California State University-Northridge,CA
California State University-Sacramento,CA
California State University-San Bernardino,CA
California State University-San Marcos,CA
California State University-Stanislaus,CA
California University of Management and Sciences,CA
California University of Pennsylvania,PA
Calumet College of Saint Joseph,IN
Calvin University,MI
Cameron University,OK
Canisius College,NY
Capella University,MN
Capital University,OH
Capitol Technology University,MD
Caribbean University-Bayamon,PR
Caribbean University-Carolina,PR
Caribbean University-Ponce,PR
Caribbean University-Vega Baja,PR
Carlow University,PA
Carolina Christian College,NC
Carolina University,NC
Carolinas College of Health Sciences,NC
Carroll College,MT
Carroll University,WI
Carson-Newman University,TN
Carthage College,WI
Cascadia College,WA
Case Western Reserve University,OH
Castleton University,VT
Catawba College,NC
Cedarville University,OH
CEM College-Bayamon,PR
CEM College-Humacao,PR
CEM College-Mayaguez,PR
CEM College-San Juan,PR
Centenary College of Louisiana,LA
Centenary University,NJ
Central Christian College of Kansas,KS
Central College,IA
Central Connecticut State University,CT
Central Methodist University-College of Graduate and Extended Studies,MO
Central Methodist University-College of Liberal Arts and Sciences,MO
Central Michigan University,MI
Central Ohio Technical College,OH
Central Penn College,PA
Central State University,OH
Central Washington University,WA
Central Wyoming College,WY
Central Yeshiva Tomchei Tmimim Lubavitz,NY
Centralia College,WA
Centre College,KY
Centura College-Chesapeake,VA
Centura College-Virginia Beach,VA
Century College,MN
Chadron State College,NE
Chamberlain University-Arizona,AZ
Chamberlain University-California,CA
Chamberlain University-Florida,FL
Chamberlain University-Georgia,GA
Chamberlain University-Illinois,IL
Chamberlain University-Indiana,IN
Chamberlain University-Louisiana,LA
Chamberlain University-Michigan,MI
Chamberlain University-Missouri,MO
Chamberlain University-Nevada,NV
Chamberlain University-New Jersey,NJ
Chamberlain University-North Carolina,NC
Chamberlain University-Ohio,OH
Chamberlain University-Texas,TX
Chamberlain University-Virginia,VA
Chaminade University of Honolulu,HI
Champlain College,VT
Chapman University,CA
Charles R Drew University of Medicine and Science,CA
Charleston Southern University,SC
Charlotte Christian College and Theological Seminary,NC
Charter College,WA
Charter Oak State College,CT
Chatham University,PA
Chestnut Hill College,PA
Cheyney University of Pennsylvania,PA
Chicago State University,IL
Chipola College,FL
Chowan University,NC
Christian Brothers University,TN
Christian Life College,IL
Christopher Newport University,VA
Cincinnati State Technical and Community College,OH
Citadel Military College of South Carolina,SC
City College-Gainesville,FL
City College-Miami,FL
City University of Seattle,WA
City Vision University,--
Clarion University of Pennsylvania,PA
Clark College,WA
Clark State College,OH
Clark University,MA
Clarke University,IA
Clarkson College,NE
Clarkson University,NY
Clear Creek Baptist Bible College,KY
Cleary University,MI
Clemson University,SC
Cleveland Institute of Art,OH
Cleveland Institute of Music,OH
Cleveland University-Kansas City,KS
Clinton College,SC
Coastal Carolina University,SC
Coe College,IA
Coker University,SC
Colby College,ME
Colby-Sawyer College,NH
College for Creative Studies,MI
College of Biblical Studies,TX
College of Biblical Studies-Houston,TX
College of Central Florida,FL
College of Menominee Nation,WI
College of Micronesia-FSM,FM
College of Mount Saint Vincent,NY
College of Our Lady of the Elms,MA
College of Saint Benedict,MN
College of Southern Idaho,ID
College of Southern Nevada,NV
College of the Atlantic,ME
College of the Holy Cross,MA
College of the Marshall Islands,MH
Collin County Community College District,TX
Colorado College,CO
Colorado Mesa University,CO
Colorado Mountain College,CO
Colorado School of Mines,CO
Colorado State University Pueblo,CO
Colorado State University-Fort Collins,CO
Colorado Technical University-Colorado Springs,CO
Columbia Basin College,WA
Columbia Central University,PR
Columbia Central University-Yauco,PR
Columbia College,SC
Columbia College,MO
Columbia College Chicago,IL
Columbia College Hollywood,CA
Columbia International University,SC
Columbia Southern University,AL
Columbia University in the City of New York,NY
Columbus College of Art and Design,OH
Community College of Denver,CO
Concord University,WV
Concordia College at Moorhead,MN
Concordia University Ann Arbor,MI
Concordia University Texas,TX
Concordia University-Chicago,IL
Concordia University-Irvine,CA
Concordia University-Nebraska,NE
Concordia University-Saint Paul,MN
Concordia University-Wisconsin,WI
Connecticut College,CT
Conservatory of Music of Puerto Rico,PR
Converse University,SC
Coppin State University,MD
Corban University,OR
Cornell College,IA
Cornish College of the Arts,WA
Cottey College,MO
Creighton University,NE
Criswell College,TX
Crowley's Ridge College,AR
Crown College,MN
Culinary Institute of America,NY
Culver-Stockton College,MO
Curry College,MA
Curtis Institute of Music,PA
Cypress College,CA
D'Youville  University,NY
Daemen University,NY
Dakota State University,SD
Dakota Wesleyan University,SD
Dallas Baptist University,TX
Dallas Christian College,TX
Dallas College,TX
Davenport University,MI
Davidson College,NC
Davis & Elkins College,WV
Davis College,NY
Daytona College,FL
Daytona State College,FL
Dean College,MA
Defiance College,OH
Delaware State University,DE
Delaware Valley University,PA
Delta State University,MS
Denison University,OH
DePaul University,IL
DePauw University,IN
DeSales University,PA
Design Institute of San Diego,CA
DeVry College of New York,NY
DeVry University-Arizona,AZ
DeVry University-California,CA
DeVry University-Florida,FL
DeVry University-Georgia,GA
DeVry University-Illinois,IL
DeVry University-Missouri,MO
DeVry University-Nevada,NV
DeVry University-New Jersey,NJ
DeVry University-Ohio,OH
DeVry University-Pennsylvania,PA
DeVry University-Tennessee,TN
DeVry University-Texas,TX
DeVry University-Virginia,VA
Dewey University-Carolina,PR
Dewey University-Hato Rey,PR
Dewey University-Juana Díaz,PR
Dewey University-Manati,PR
Dickinson College,PA
Dickinson State University,ND
DigiPen Institute of Technology,WA
Dillard University,LA
Dine College,AZ
Doane University,NE
Dominican University,IL
Dominican University New York,NY
Dominican University of California,CA
Donnelly College,KS
Dordt University,IA
Drake University,IA
Drew University,NJ
Drury University,MO
Drury University-College of Continuing Professional Studies,MO
Dunwoody College of Technology,MN
Duquesne University,PA
Eagle Gate College-Boise Campus,ID
Eagle Gate College-Layton,UT
Eagle Gate College-Murray,UT
Earlham College,IN
East Central University,OK
East Stroudsburg University of Pennsylvania,PA
East Tennessee State University,TN
East Texas Baptist University,TX
East-West University,IL
Eastern Connecticut State University,CT
Eastern Florida State College,FL
Eastern Illinois University,IL
Eastern International College-Belleville,NJ
Eastern International College-Jersey City,NJ
Eastern Kentucky University,KY
Eastern Mennonite University,VA
Eastern Oregon University,OR
Eastern University,PA
Eastern Washington University,WA
Eastwick College-Ramsey,NJ
Eckerd College,FL
ECPI University,VA
Edgewood College,WI
Edinboro University of Pennsylvania,PA
Edmonds College,WA
Elim Bible Institute and College,NY
Elizabethtown College,PA
Elmhurst University,IL
Elmira College,NY
Elon University,NC
Embry-Riddle Aeronautical University-Daytona Beach,FL
Embry-Riddle Aeronautical University-Prescott,AZ
Embry-Riddle Aeronautical University-Worldwide,FL
Emerson College,MA
Emmanuel College,MA
Emory & Henry College,VA
Empire State University,NY
Emporia State University,KS
Endicott College,MA
Ensign College,UT
Erskine College,SC
Escuela de Artes Plasticas de Puerto Rico,PR
Eureka College,IL
Evangel University,MO
Everglades University,FL
Excelsior University,NY
Fairfax University of America,VA
Fairfield University,CT
Fairleigh Dickinson University-Florham Campus,NJ
Fairleigh Dickinson University-Metropolitan Campus,NJ
Fairmont State University,WV
Faith International University,WA
Farmingdale State College,NY
Fashion Institute of Technology,NY
Feather River Community College District,CA
Felbry College,OH
Felician University,NJ
Ferris State University,MI
Ferrum College,VA
FIDM-Fashion Institute of Design & Merchandising,CA
FIDM-Fashion Institute of Design & Merchandising-San Francisco,CA
Fisher College,MA
Fitchburg State University,MA
Five Towns College,NY
Flagler College,FL
Florida Gateway College,FL
Florida Memorial University,FL
Florida National University-Main Campus,FL
Florida Southern College,FL
Florida SouthWestern State College,FL
Florida State College at Jacksonville,FL
Foothill College,CA
Fort Hays State University,KS
Fort Lewis College,CO
Framingham State University,MA
Francis Marion University,SC
Franciscan Missionaries of Our Lady University,LA
Franklin and Marshall College,PA
Franklin College,IN
Franklin Pierce University,NH
Franklin University,OH
Freed-Hardeman University,TN
Fremont University,CA
Fresno Pacific University,CA
Friends University,KS
Front Range Community College,CO
Frostburg State University,MD
Full Sail University,FL
Furman University,SC
Galen College of Nursing-Cincinnati,OH
Galen College of Nursing-Louisville,KY
Galen College of Nursing-San Antonio,TX
Galen College of Nursing-Tampa Bay,FL
Galveston College,TX
Gannon University,PA
Gardner-Webb University,NC
Gemini School of Visual Arts & Communication,TX
Geneva College,PA
George Fox University,OR
George Mason University,VA
George Washington University,DC
Georgia Military College,GA
Georgian Court University,NJ
Gettysburg College,PA
Glenville State University,WV
Gnomon,CA
Gods Bible School and College,OH
Golden Gate University,CA
Goldey-Beacom College,DE
Gonzaga University,WA
Goodwin University,CT
Gordon College,MA
Goshen College,IN
Goucher College,MD
Governors State University,IL
Grace Christian University,MI
Grace College and Theological Seminary,IN
Grace Mission University,CA
Grace School of Theology,TX
Graceland University-Lamoni,IA
Grand Canyon University,AZ
Grand Valley State University,MI
Grand View University,IA
Granite State College,NH
Grantham University,--
Grays Harbor College,WA
Grayson College,TX
Great Basin College,NV
Great Northern University,WA
Green River College,WA
Greensboro College,NC
Greenville Technical College,SC
Greenville University,IL
Grove City College,PA
Guam Community College,GU
Guilford College,NC
Gulf Coast State College,FL
Gurnick Academy of Medical Arts,CA
Gustavus Adolphus College,MN
Gwynedd Mercy University,PA
Hallmark University,TX
Hamilton College,NY
Hamline University,MN
Hampshire College,MA
Hampton University,VA
Hanover College,IN
Hardin-Simmons University,TX
Harding University,AR
Harris-Stowe State University,MO
Harrisburg University of Science and Technology,PA
Hartwick College,NY
Haskell Indian Nations University,KS
Hastings College,NE
Haven University,CA
Haverford College,PA
Hawaii Pacific University,HI
Heidelberg University,OH
Helene Fuld College of Nursing,NY
Hellenic College-Holy Cross Greek Orthodox School of Theology,MA
Henderson State University,AR
Hendrix College,AR
Henry Ford College,MI
Heritage Bible College,NC
Heritage Christian University,AL
Heritage University,WA
Herzing University-Akron,OH
Herzing University-Atlanta,GA
Herzing University-Birmingham,AL
Herzing University-Brookfield,WI
Herzing University-Kenosha,WI
Herzing University-Madison,WI
Herzing University-Minneapolis,MN
Herzing University-New Orleans,LA
Herzing University-Orlando,FL
Herzing University-Tampa,FL
Hesston College,KS
High Point University,NC
Hilbert College,NY
Hillsdale College,MI
Hiram College,OH
Hobart William Smith Colleges,NY
Hobe Sound Bible College,FL
Hofstra University,NY
Hollins University,VA
Holy Apostles College and Seminary,CT
Holy Cross College,IN
Holy Family University,PA
Hood College,MD
Hope College,MI
Hope International University,CA
Horizon University,IN
Houghton University,NY
"Houston Christian University
",TX
Howard Payne University,TX
Huertas College,PR
Hult International Business School,MA
Humphreys University-Stockton and Modesto Campuses,CA
Huntingdon College,AL
Huntington University,IN
Huntington University of Health Sciences,--
Huntsville Bible College,AL
Husson University,ME
Huston-Tillotson University,TX
Idaho State University,ID
Ilisagvik College,AK
Illinois College,IL
Illinois Institute of Technology,IL
Illinois State University,IL
Illinois Wesleyan University,IL
Immaculata University,PA
Indian Bible College,AZ
Indian River State College,FL
Indiana Institute of Technology,IN
Indiana Institute of Technology-College of Professional Studies,IN
Indiana State University,IN
Indiana University-Bloomington,IN
Indiana University-East,IN
Indiana University-Kokomo,IN
Indiana University-Northwest,IN
Indiana University-Purdue University-Indianapolis,IN
Indiana University-South Bend,IN
Indiana University-Southeast,IN
Indiana Wesleyan University-Marion,IN
Indiana Wesleyan University-National & Global,IN
Institute of American Indian and Alaska Native Culture and Arts Development,NM
Institute of Production and Recording,MN
Inter American University of Puerto Rico-Aguadilla,PR
Inter American University of Puerto Rico-Arecibo,PR
Inter American University of Puerto Rico-Barranquitas,PR
Inter American University of Puerto Rico-Bayamon,PR
Inter American University of Puerto Rico-Fajardo,PR
Inter American University of Puerto Rico-Guayama,PR
Inter American University of Puerto Rico-Metro,PR
Inter American University of Puerto Rico-Ponce,PR
Inter American University of Puerto Rico-San German,PR
International Baptist College and Seminary,AZ
"Iona University

",NY
Iowa State University,IA
Ithaca College,NY
Jackson College,MI
Jackson State University,MS
Jacksonville State University,AL
Jacksonville University,FL
James Madison University,VA
Jarvis Christian University,TX
John Brown University,AR
John Patrick University of Health and Applied Sciences,IN
John Paul the Great Catholic University,CA
Johnson & Wales University-Charlotte,NC
Johnson & Wales University-Providence,RI
Johnson C Smith University,NC
Jose Maria Vargas University,FL
Joyce University of Nursing and Health Sciences,UT
Judson University,IL
Juniata College,PA
Kalamazoo College,MI
Kansas Christian College,KS
Kansas City Art Institute,MO
Kansas State University,KS
Kansas Wesleyan University,KS
Kean University,NJ
Keene State College,NH
Kehilath Yakov Rabbinical Seminary,NY
Keiser University-Ft Lauderdale,FL
Kent State University at Ashtabula,OH
Kent State University at East Liverpool,OH
Kent State University at Geauga,OH
Kent State University at Kent,OH
Kent State University at Salem,OH
Kent State University at Stark,OH
Kent State University at Trumbull,OH
Kent State University at Tuscarawas,OH
Kentucky State University,KY
Kentucky Wesleyan College,KY
Kettering University,MI
Keuka College,NY
Keystone College,PA
King University,TN
King's College,PA
Knox College,IL
La Roche University,PA
La Sierra University,CA
Laboure College of Healthcare,MA
Lac Courte Oreilles Ojibwe University,WI
Lackawanna College,PA
LaGrange College,GA
Laguna College of Art and Design,CA
Lake Erie College,OH
Lake Forest College,IL
Lake Superior State University,MI
Lake Washington Institute of Technology,WA
Lake-Sumter State College,FL
Lakeland University,WI
Lamar University,TX
Lancaster Bible College,PA
Lander University,SC
Landmark College,VT
Lane College,TN
Langston University,OK
Laramie County Community College,WY
Laredo College,TX
Lasell University,MA
Latin American Bible Institute,CA
Laurus College,CA
Lawrence University,WI
Le Moyne College,NY
Learnet Academy Inc,CA
Lebanon Valley College,PA
Lees-McRae College,NC
Lehigh University,PA
Lenoir-Rhyne University,NC
Lesley University,MA
LeTourneau University,TX
Lewis & Clark College,OR
Lewis University,IL
Lewis-Clark State College,ID
Liberty University,VA
Life Pacific University,CA
LIM College,NY
Limestone University,SC
Lincoln Memorial University,TN
Lincoln University,MO
Lincoln University,CA
Lincoln University,PA
Lindenwood University,MO
Lindsey Wilson College,KY
Linfield University,OR
Living Arts College,NC
Lock Haven University,PA
Logan University,MO
Lone Star College System,TX
Long Island University,NY
Longwood University,VA
Longy School of Music of Bard College,MA
Lorain County Community College,OH
Loras College,IA
Los Angeles College of Music,CA
Los Angeles Film School,CA
Louisiana State University and Agricultural & Mechanical College,LA
Louisiana State University-Alexandria,LA
Lourdes University,OH
Lower Columbia College,WA
Loyola University Chicago,IL
Loyola University Maryland,MD
Loyola University New Orleans,LA
Lubbock Christian University,TX
Luther College,IA
Luther Rice College & Seminary,GA
Lycoming College,PA
Lynn University,FL
Lyon College,AR
Macalester College,MN
Machzikei Hadath Rabbinical College,NY
Madonna University,MI
Maharishi International University,IA
Maine College of Art & Design,ME
Maine Maritime Academy,ME
Malone University,OH
Manchester University,IN
Manhattan Christian College,KS
Manhattan College,NY
Manhattan School of Music,NY
Manhattanville College,NY
Manna University,NC
Manor College,PA
Mansfield University of Pennsylvania,PA
Maria College of Albany,NY
Marian University,WI
Marian University,IN
Marietta College,OH
Marist College,NY
Marquette University,WI
Mars Hill University,NC
Marshall University,WV
Martin University,IN
Mary Baldwin University,VA
Maryland Institute College of Art,MD
Marymount Manhattan College,NY
Marymount University,VA
Maryville College,TN
Maryville University of Saint Louis,MO
Marywood University,PA
Massachusetts College of Art and Design,MA
Mayville State University,ND
McDaniel College,MD
McKendree University,IL
McMurry University,TX
McNeese State University,LA
McPherson College,KS
MCPHS University,MA
Menlo College,CA
Mercy College,NY
Mercy College of Health Sciences,IA
Mercy College of Ohio,OH
Mercyhurst University,PA
Meredith College,NC
Merrimack College,MA
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,NY
Mesivta Torah Vodaath Rabbinical Seminary,NY
Mesivtha Tifereth Jerusalem of America,NY
Messenger College,TX
Messiah University,PA
Methodist University,NC
Metropolitan College of New York,NY
Metropolitan State University,MN
Metropolitan State University of Denver,CO
Miami Dade College,FL
Miami Regional University,FL
Miami University-Hamilton,OH
Miami University-Middletown,OH
Michigan State University,MI
Michigan Technological University,MI
Mid-America Christian University,OK
Mid-Atlantic Christian University,NC
MidAmerica Nazarene University,KS
Midland College,TX
Midland University,NE
Midwestern State University,TX
Miles College,AL
Millennia Atlantic University,FL
Miller-Motte College,--
Miller-Motte College-Wilmington,NC
Millersville University of Pennsylvania,PA
Milligan University,TN
Millikin University,IL
Millsaps College,MS
Milwaukee Institute of Art & Design,WI
Milwaukee School of Engineering,WI
Minerva University,CA
Minneapolis College of Art and Design,MN
Minnesota State University Moorhead,MN
Minnesota State University-Mankato,MN
Minot State University,ND
MiraCosta College,CA
Mirrer Yeshiva Cent Institute,NY
Mississippi College,MS
Mississippi State University,MS
Mississippi University for Women,MS
Mississippi Valley State University,MS
Missouri Baptist University,MO
Missouri Southern State University,MO
Missouri State University-Springfield,MO
Missouri Valley College,MO
Missouri Western State University,MO
Mitchell College,CT
Modesto Junior College,CA
Monmouth College,IL
Monroe College,NY
Montana State University,MT
Montana State University Billings,MT
Montana State University-Northern,MT
Montana Technological University,MT
Montclair State University,NJ
Montreat College,NC
Montserrat College of Art,MA
Moody Bible Institute,IL
Moore College of Art and Design,PA
Moravian University,PA
Morehead State University,KY
Morgan State University,MD
Morningside University,IA
MORRIS BROWN COLLEGE,GA
Morris College,SC
Mount Aloysius College,PA
Mount Angel Seminary,OR
Mount Carmel College of Nursing,OH
Mount Holyoke College,MA
Mount Marty University,SD
Mount Mary University,WI
Mount Mercy University,IA
Mount Saint Joseph University,OH
Mount Saint Mary College,NY
Mount Saint Mary's University,CA
Mount St. Mary's University,MD
Mount Vernon Nazarene University,OH
Muhlenberg College,PA
Murray State University,KY
Musicians Institute,CA
Muskingum University,OH
Naropa University,CO
National American University,--
National American University-Ellsworth,SD
National American University-Georgetown,TX
National Louis University,IL
National Paralegal College,--
National University,CA
Navajo Technical University,NM
Nazarene Bible College,KY
Nazareth College,NY
Nebraska Methodist College of Nursing & Allied Health,NE
Nebraska Wesleyan University,NE
Ner Israel Rabbinical College,MD
Neumann University,PA
Neumont College of Computer Science,UT
Nevada State College,NV
New England College,NH
New England Institute of Technology,RI
New Hope Christian College-Eugene,OR
New Jersey City University,NJ
New Mexico Highlands University,NM
New Mexico State University-Main Campus,NM
New Orleans Baptist Theological Seminary,LA
New York College of Health Professions,NY
New York Film Academy,CA
New York Institute of Technology,NY
New York School of Interior Design,NY
Newman University,KS
Newschool of Architecture and Design,CA
NewU University,DC
Niagara University,NY
Nicholls State University,LA
Nichols College,MA
Nightingale College,UT
North American University,TX
North Central College,IL
North Central State College,OH
North Central University,MN
North Dakota State University-Main Campus,ND
North Florida College,FL
North Greenville University,SC
North Park University,IL
North Seattle College,WA
Northcentral University,--
Northeastern Illinois University,IL
Northeastern State University,OK
Northern Arizona University,AZ
Northern Illinois University,IL
Northern Kentucky University,KY
Northern Marianas College,MP
Northern Michigan University,MI
Northern New Mexico College,NM
Northern State University,SD
Northern Vermont University,VT
Northland College,WI
Northpoint Bible College,MA
Northwest College,WY
Northwest College of Art & Design,WA
Northwest Florida State College,FL
Northwest Indian College,WA
Northwest Missouri State University,MO
Northwest Nazarene University,ID
Northwest University,WA
Northwest University-Center for Online and Extended Education,WA
Northwestern College,IA
Northwestern Michigan College,MI
Northwestern Oklahoma State University,OK
Northwestern State University of Louisiana,LA
Northwood University,MI
Norwich University,VT
Nossi College of Art,TN
Notre Dame of Maryland University,MD
NUC University,PR
NUC University - Florida Technical College,FL
Nueta Hidatsa Sahnish College,ND
Oak Hills Christian College,MN
Oak Valley College,CA
Oakland City University,IN
Oakwood University,AL
Occidental College,CA
Odessa College,TX
Oglala Lakota College,SD
Oglethorpe University,GA
Ohio Christian University,OH
Ohio Dominican University,OH
Ohio Northern University,OH
Ohio State University-Lima Campus,OH
Ohio State University-Mansfield Campus,OH
Ohio State University-Marion Campus,OH
Ohio State University-Newark Campus,OH
Ohio University-Chillicothe Campus,OH
Ohio University-Eastern Campus,OH
Ohio University-Lancaster Campus,OH
Ohio University-Main Campus,OH
Ohio University-Southern Campus,OH
Ohio University-Zanesville Campus,OH
Ohio Wesleyan University,OH
Oklahoma Baptist University,OK
Oklahoma Christian University,OK
Oklahoma City University,OK
Oklahoma Panhandle State University,OK
Oklahoma State University Institute of Technology,OK
Oklahoma State University-Main Campus,OK
Oklahoma State University-Oklahoma City,OK
Oklahoma Wesleyan University,OK
Old Dominion University,VA
Olivet College,MI
Olivet Nazarene University,IL
Olympic College,WA
Oregon Health & Science University,OR
Oregon Institute of Technology,OR
Oregon State University,OR
Oregon State University-Cascades Campus,OR
Orion Technical College,IA
Otis College of Art and Design,CA
Ottawa University-Ottawa,KS
Ottawa University-Surprise,AZ
Otterbein University,OH
Ouachita Baptist University,AR
Our Lady of the Lake University,TX
Ozark Christian College,MO
Pace University,NY
Pacific Bible College,OR
Pacific College,CA
Pacific College of Health and Science,NY
Pacific College of Health and Science,IL
Pacific College of Health and Science,CA
Pacific Islands University,GU
Pacific Lutheran University,WA
Pacific Oaks College,CA
Pacific Rim Christian University,HI
Pacific States University,CA
Pacific Union College,CA
Pacific University,OR
Paier College,CT
Paine College,GA
Palm Beach Atlantic University,FL
Palm Beach State College,FL
Park University,MO
Parker University,TX
Pasco-Hernando State College,FL
Paul Quinn College,TX
Paul Smiths College of Arts and Science,NY
PCI College,CA
Peirce College,PA
Peninsula College,WA
Pennsylvania College of Art and Design,PA
Pennsylvania College of Technology,PA
Pennsylvania Institute of Technology,PA
Pennsylvania Western University,PA
Pensacola State College,FL
Pepperdine University,CA
Peru State College,NE
Pfeiffer University,NC
Piedmont University,GA
Pikes Peak State College,CO
Pillar College,NJ
Pima Medical Institute-Tucson,AZ
Pittsburg State University,KS
Pittsburgh Technical College,PA
Platt College-Aurora,CO
Platt College-Los Angeles,CA
Platt College-Ontario,CA
Platt College-Riverside,CA
Platt College-San Diego,CA
Plaza College,NY
Plymouth State University,NH
Point Loma Nazarene University,CA
Point Park University,PA
Point University,GA
Polk State College,FL
Pomona College,CA
Portland State University,OR
Post University,CT
Potomac State College of West Virginia University,WV
Prairie View A & M University,TX
Pratt Institute-Main,NY
Presbyterian College,SC
Prescott College,AZ
Principia College,IL
Providence College,RI
Provo College,UT
Pueblo Community College,CO
Purdue University Fort Wayne,IN
Purdue University Global,IN
Purdue University Northwest,IN
Queens University of Charlotte,NC
Quincy College,MA
Quincy University,IL
Quinnipiac University,CT
Rabbi Jacob Joseph School,NJ
Rabbinical Academy Mesivta Rabbi Chaim Berlin,NY
Rabbinical College Beth Shraga,NY
Rabbinical College Bobover Yeshiva Bnei Zion,NY
