inst,state,city
automeca technical college-caguas,PR,Caguas
automeca technical college-ponce,PR,Ponce
centura college-chesapeake,VA,Chesapeake
university of phoenix-hawaii,HI,Kapolei
prism career institute-cherry hill,NJ,Cherry Hill
sonoran university of health sciences,AZ,Tempe
escuela de peritos electricistas de isabela inc,PR,Isabela
yeshiva d'monsey rabbinical college,NY,Monsey
lincoln technical institute-mahwah,NJ,Mahwah
career technical institute,DC,Washington
northwest vista college,TX,San Antonio
oconee fall line technical college,GA,Sandersville
york county community college,ME,Wells
western suffolk boces,NY,Northport
arkansas state university-mountain home,AR,Mountain Home
columbia gorge community college,OR,The Dalles
bakke graduate university,TX,Dallas
tillamook bay community college,OR,Tillamook
manhattan school of computer technology,NY,Brooklyn
ross college-hopkinsville,KY,Hopkinsville
paul mitchell the school-st. george,UT,Saint George
cadillac institute of cosmetology,MI,Cadillac
arizona college of nursing-tempe,AZ,Tempe
vanguard-sentinel adult career and technology center,OH,Fremont
academy of beauty professionals,MO,Raymore
new york conservatory for dramatic arts,NY,New York
eastern international college-jersey city,NJ,Jersey City
academia serrant inc,PR,Ponce
san joaquin valley college-trades education center,CA,Fresno
pacific college,CA,Costa Mesa
american college of healthcare and technology,CA,Riverside
compu-med vocational careers corp,FL,Hialeah
advantage technical college,PR,Manati
mid cities barber college,TX,Grand Prairie
midwestern university-glendale,AZ,Glendale
oregon coast community college,OR,Newport
gwinnett college-sandy springs,GA,Sandy Springs
mildred elley-pittsfield campus,MA,Pittsfield
embry-riddle aeronautical university-worldwide,FL,Daytona Beach
merkaz bnos-business school,NY,Brooklyn
lia schorr institute of cosmetic skin care training,NY,New York
cet-alexandria,VA,Alexandria
aviation institute of maintenance-norfolk,VA,Norfolk
centura college-richmond main,VA,North Chesterfield
osceola technical college,FL,Kissimmee
miami ad school,FL,Miami
green country technology center,OK,Okmulgee
nova college de puerto rico,PR,Bayamon
john wesley international barber and beauty college,CA,Long Beach
southeastern college-west palm beach,FL,West Palm Beach
ottawa university-milwaukee,WI,Brookfield
klamath community college,OR,Klamath Falls
american college of acupuncture and oriental med,TX,Houston
aoma graduate school of integrative medicine,TX,Austin
urban college of boston,MA,Boston
strayer university-maryland,MD,Suitland
empire beauty school-monroeville,PA,Monroeville
southern careers institute-san antonio,TX,San Antonio
cayce/reilly school of massage,VA,Virginia Beach
prism career institute-west atlantic city,NJ,West  Atlantic City
studio jewelers,NY,New York
praxis institute,FL,Miami
san juan bautista school of medicine,PR,Caguas
texas health and science university,TX,Austin
carver career center,WV,Charleston
cayuga onondaga boces-practical nursing program,NY,Auburn
clearfield county career and technology center,PA,Clearfield
colegio de cinematografia artes y television,PR,Bayamon
delaware county technical school-practical nursing program,PA,Broomall
mid-del technology center,OK,Midwest City
new york institute of massage inc,NY,Williamsville
dutchess boces-practical nursing program,NY,Poughkeepsie
escuela tecnica de electricidad,PR,Ponce
institute of technology,CA,Clovis
bristol technical education center,CT,Bristol
genesee valley boces-practical nursing program,NY,Batavia
henrico county-saint marys hospital school of practical nursing,VA,Henrico
herkimer county boces-practical nursing program,NY,Ilion
international beauty college,TX,Garland
cape coral technical college,FL,Cape Coral
upmc mercy school of nursing,PA,Pittsburgh
ocean county vocational-technical school,NJ,Toms River
yeshiva of the telshe alumni,NY,Riverdale
kenneth shuler school of cosmetology-rock hill,SC,Rock Hill
cet-el paso,TX,El Paso
appalachian school of law,VA,Grundy
platt college-ontario,CA,Ontario
delaware college of art and design,DE,Wilmington
american university of health sciences,CA,Signal Hill
career networks institute,CA,Santa Ana
monty tech,MA,Fitchburg
okaloosa technical college,FL,Fort Walton Beach
lincoln technical institute-lincoln,RI,Lincoln
wayne county schools career center,OH,Smithville
carolinas college of health sciences,NC,Charlotte
western governors university,UT,Salt Lake City
california aeronautical university,CA,Bakersfield
herzing university-new orleans,LA,Metairie
florida gulf coast university,FL,Fort Myers
little priest tribal college,NE,Winnebago
south louisiana community college,LA,Lafayette
pima medical institute-chula vista,CA,Chula Vista
lincoln college of technology-marietta,GA,Marietta
academy of hair design-lufkin,TX,Lufkin
pathway vocational academy,TX,Beaumont
cortiva institute,MD,Linthicum
toni & guy hairdressing academy-worcester,MA,Worcester
northwest hvac/r training center,WA,Spokane
myotherapy institute,NE,Lincoln
florida college of integrative medicine,FL,Orlando
new professions technical institute,FL,Miami
strand college of hair design,SC,Myrtle Beach
city college-miami,FL,Miami
ilisagvik college,AK,Barrow
community college of baltimore county,MD,Baltimore
white earth tribal and community college,MN,Mahnomen
blue cliff college-metairie,LA,Metairie
creative images institute of cosmetology-north dayton,OH,Dayton
dewey university-carolina,PR,Carolina
yeshiva college of the nations capital,MD,Silver  Spring
louisiana state university health sciences center-shreveport,LA,Shreveport
hair academy ii,MD,Hillcrest Heights
southwest acupuncture college-boulder,CO,Boulder
river parishes community college,LA,Gonzales
los angeles film school,CA,Hollywood
century college,PR,San Juan
fine mortuary college,MA,Norwood
international baptist college and seminary,AZ,Chandler
gwinnett college,NC,Raleigh
fortis college-foley,AL,Foley
medical training college,LA,Baton Rouge
toni & guy hairdressing academy-plano,TX,Plano
university of connecticut-waterbury campus,CT,Waterbury
university of connecticut-avery point,CT,Groton
university of connecticut-stamford,CT,Stamford
university of management and technology,VA,Arlington
baton rouge community college,LA,Baton Rouge
iyrs school of technology & trades,RI,Newport
midwest technical institute-illinois,IL,Springfield
advanced barber college and hair design,TX,Weslaco
the college of health care professions-austin,TX,Austin
new community career & technical institute,NJ,Newark
chicago school of professional psychology-college of nursing,TX,Richardson
professional golfers career college,CA,Temecula
chester career college,VA,CHESTER
milan institute-san antonio ingram,TX,San Antonio
rudae's school of beauty culture-ft wayne,IN,Fort Wayne
carrington college-san jose,CA,San Jose
brookline college-tucson,AZ,Tucson
miller-motte college-mccann-lewisburg,PA,Lewisburg
carrington college-pleasant hill campus,CA,Pleasant Hill
cortiva institute,FL,Maitland
modern hairstyling institute-carolina,PR,Carolina
universal technical institute of california inc,CA,Rancho Cucamonga
american intercontinental university-atlanta,GA,Atlanta
the academy of hair design six,MS,Hattiesburg
eastern west virginia community and technical college,WV,Moorefield
aviation institute of maintenance-indianapolis,IN,Indianapolis
ivaem college,PR,Caguas
midwest college of oriental medicine-skokie,IL,Skokie
carrington college-spokane,WA,Spokane
cascadia college,WA,Bothell
cbd college,CA,Los Angeles
east west college of natural medicine,FL,Sarasota
atlantic institute of oriental medicine,FL,Fort Lauderdale
mdt college of health sciences,IL,Chicago
bennett career institute,DC,Washington
blue cliff college-lafayette,LA,Lafayette
community care college,OK,Tulsa
erie 1 boces,NY,West Seneca
hds truck driving institute,AZ,Tucson
international training careers,FL,Miami
the king's university,TX,Southlake
fortis college-baton rouge,LA,Baton Rouge
my le's beauty college,CA,Sacramento
new concept massage and beauty school,FL,Miami
new york college of traditional chinese medicine,NY,Mineola
fortis college-orange park,FL,Orange Park
northeastern seminary,NY,Rochester
omega institute of cosmetology,LA,Houma
pacific islands university,GU,Mangilao
pci college,CA,Cerritos
rosedale bible college,OH,Irwin
seattle institute of east asian medicine,WA,Seattle
shawnee beauty college,OK,Shawnee
acupuncture and massage college,FL,Miami
upper valley educators institute,NH,Lebanon
keck graduate institute,CA,Claremont
aviation institute of maintenance-atlanta,GA,Duluth
empire beauty school-kennesaw,GA,Kennesaw
new york automotive and diesel institute,NY,Jamaica
remington college-baton rouge campus,LA,Baton Rouge
new saint andrews college,ID,Moscow
arkansas state university-newport,AR,Newport
atenas college,PR,Manati
onondaga cortland madison boces,NY,Liverpool
national american university-ellsworth,SD,Box Elder
interactive college of technology,TX,Pasadena
pillar college,NJ,Newark
miami ad school-san francisco,CA,San Francisco
oregon state university-cascades campus,OR,Bend
milan institute-amarillo,TX,Amarillo
southern university law center,LA,Baton Rouge
texas barber college,TX,Houston
miller-motte college-charleston,SC,Charleston
american career college-anaheim,CA,Anaheim
saginaw chippewa tribal college,MI,Mount Pleasant
richmont graduate university,TN,Chattanooga
the seattle school of theology & psychology,WA,Seattle
northwest college-hillsboro,OR,Hillsboro
east valley institute of technology,AZ,Mesa
smith chason college,CA,Los Angeles
irell & manella graduate school of biological sciences at city of hope,CA,Duarte
design's school of cosmetology,CA,Paso Robles
ultimate medical academy,FL,Clearwater
florida barber academy,FL,Plantation
m-dcps the english center,FL,Miami
florida education institute,FL,Miami
texas county technical college,MO,Houston
aviation institute of maintenance-kansas city,MO,Kansas City
blue cliff college-gulfport,MS,Gulfport
metropolitan learning institute,NY,Rego Park
orleans niagara boces-practical nursing program,NY,Lockport
yeshiva shaarei torah of rockland,NY,Suffern
leon studio one school of beauty knowledge,NY,Williamsville
american institute of alternative medicine,OH,Columbus
brown aveda institute-mentor,OH,Mentor
institute of technology,OR,Salem
susquehanna county career and technology center,PA,Springville
universidad pentecostal mizpa,PR,Rio Piedras
caribbean forensic and technical college,PR,San Juan
concorde career college-grand prairie,TX,Grand Prairie
lamar institute of technology,TX,Beaumont
aviation institute of maintenance-dallas,TX,Irving
healing mountain massage school,UT,Salt Lake City
eastern virginia career college,VA,Fredericksburg
rudy & kelly academy a paul mitchell partner school,VA,Virginia Beach
nevada state college,NV,Henderson
california state university-channel islands,CA,Camarillo
franklin w olin college of engineering,MA,Needham
won institute of graduate studies,PA,Warminster
lincoln technical institute-paramus,NJ,Paramus
pima medical institute-colorado springs,CO,Colorado Springs
paul mitchell the school-costa mesa,CA,Costa Mesa
ave maria school of law,FL,Naples
tulsa welding school-jacksonville,FL,Jacksonville
pennsylvania college of health sciences,PA,Lancaster
west virginia junior college-bridgeport,WV,Bridgeport
st louis college of health careers-fenton,MO,Fenton
interactive college of technology-gainesville,GA,Gainesville
san joaquin valley college-ontario,CA,Ontario
alaska christian college,AK,Soldotna
university of arkansas grantham,AR,LIttle Rock
carrington college-albuquerque,NM,Albuquerque
nascar technical institute,NC,Mooresville
university of the potomac-va campus,VA,FALLS CHURCH
milan institute-palm desert,CA,Palm Desert
tohono o'odham community college,AZ,Sells
edward via college of osteopathic medicine,VA,Blacksburg
pacific college of health and science,IL,Chicago
southwest institute of healing arts,AZ,Tempe
intercoast colleges-riverside,CA,Riverside
university of antelope valley,CA,Lancaster
brighton center's center for employment training,KY,Newport
california healing arts college,CA,Carson
dallas barber & stylist college,TX,Dallas
northshore university healthsystem school of nurse anesthesia,IL,Evanston
faith international university,WA,Tacoma
family of faith christian university,OK,Shawnee
hood theological seminary,NC,Salisbury
colegio educativo tecnologico industrial inc,PR,Arecibo
irene's myomassology institute,MI,Southfield
jay's technical institute,TX,Houston
ntma training centers of southern california,CA,Santa Fe Springs
p c age-jersey city,NJ,Jersey City
pc age-metropark,NJ,Iselin
hollywood institute,FL,Margate
south florida institute of technology,FL,Miami
southeastern college-charleston,SC,North Charleston
tigi hairdressing academy-colorado springs,CO,Colorado Springs
trend barber college,TX,Houston
valley grande institute for academic studies,TX,Weslaco
west coast university-los angeles,CA,North Hollywood
williamson christian college,TN,Franklin
triangle tech inc-sunbury,PA,Sunbury
digipen institute of technology,WA,Redmond
pierpont community and technical college,WV,Fairmont
dewey university-hato rey,PR,Hato Rey
intercoast colleges-west covina,CA,W. Covina
american college of healthcare sciences,OR,Portland
colorado media school,CO,Denver
paul mitchell the school-rhode island,RI,Cranston
miller-motte college-chattanooga,TN,Chattanooga
milan institute-sparks,NV,Sparks
bexley hall seabury western theological seminary federation inc.,IL,Chicago
altierus career college-norcross,GA,Norcross
strayer university-tennessee,TN,Memphis
strayer university-pennsylvania,PA,Trevose
charlie's guard-detective bureau and academy inc,PR,Aguadilla
pci academy-plymouth,MN,Plymouth
creative images institute of cosmetology-south dayton,OH,Dayton
brookline college-albuquerque,NM,Albuquerque
byzantine catholic seminary of saints cyril and methodius,PA,Pittsburgh
northcentral university,CA,San Diego
bayamon community college,PR,Bayamon
folsom lake college,CA,Folsom
legrand institute of cosmetology inc,SC,Camden
hussian college-daymar college murfreesboro,TN,Murfreesboro
cambridge technical institute,PR,Caguas
empire beauty school-midlothian,VA,Midlothian
empire beauty school-owings mills,MD,Owings Mills
empire beauty school-west mifflin,PA,West Mifflin
ati college-whittier,CA,Whitter
advance science international college,FL,Miami Lakes
ata college,CA,El Cajon
american advanced technicians institute,FL,Hialeah
baptist university of the americas,TX,San Antonio
the beauty institute,FL,West  Palm Beach
beis medrash heichal dovid,NY,Far Rockaway
blue cliff career college,AL,Mobile
career beauty college,TN,Lawrenceburg
paul mitchell the school-gastonia,NC,Gastonia
ces college,CA,Burbank
stellar career college,CA,Modesto
auguste escoffier school of culinary arts-austin,TX,Austin
culinary institute inc,TX,Houston
escuela hotelera de san juan,PR,Hato Rey
orion institute,OH,Perrysburg
moore career college,LA,Baton Rouge
industrial technical college,PR,Humacao
institute of clinical acupuncture & oriental med,HI,Honolulu
gwinnett college-marietta campus,GA,Marietta
leston college,PR,Bayamon
charlotte christian college and theological seminary,NC,Charlotte
nightingale college,UT,Salt Lake City
pitc institute,PA,Wyncote
skinworks school of advanced skincare,UT,Salt Lake City
southeastern college-columbia,SC,Columbia
technical learning centers inc,DC,Washington
turning point beauty college,AZ,Casa Grande
unitech training academy-lafayette,LA,Lafayette
mountwest community and technical college,WV,Huntington
american intercontinental university,AZ,Chandler
toyota technological institute at chicago,IL,Chicago
american intercontinental university-houston,TX,Houston
university of california-merced,CA,Merced
remington college-north houston campus,TX,Houston
paul mitchell the school-orlando,FL,Oviedo
pima medical institute-las vegas,NV,Las Vegas
remington college-nashville campus,TN,Nashville
central methodist university-college of graduate and extended studies,MO,Fayette
north-west college-riverside,CA,Riverside
altierus career college-bissonnet,TX,Houston
colegio tecnico de electricidad galloza,PR,Aguada
arthur's beauty college,AR,Conway
spa tech institute-westboro,MA,Westborough
spa tech institute-plymouth,MA,Plymouth
neumont college of computer science,UT,Salt Lake City
johnson & wales university-charlotte,NC,Charlotte
roseman university of health sciences,NV,Henderson
fortis institute-port saint lucie,FL,Port Saint Lucie
aviation institute of maintenance-manassas,VA,Manassas
cosmetology school of arts & sciences,ID,Burley
universal technical institute of pennsylvania inc,PA,Exton
kenneth shuler school of cosmetology-spartanburg,SC,Spartanburg
kenneth shuler school of cosmetology-columbia,SC,Columbia
divine mercy university,VA,Sterling
lincoln technical institute-shelton,CT,Shelton
northwest career college,NV,Las Vegas
soma institute-the national school of clinical massage therapy,IL,Chicago
american academy of health and wellness,MN,Roseville
arizona school of acupuncture and oriental medicine,AZ,Tucson
ave maria university,FL,Ave Maria
calc institute of technology,IL,Alton
sutter county career training center,CA,Yuba City
cambridge college of healthcare & technology,FL,Altamonte Springs
career care institute,CA,Lancaster
ata career education,FL,Spring Hill
community christian college,CA,Redlands
culpeper cosmetology training center,VA,Culpeper
eastern school of acupuncture and traditional medicine,NJ,Bloomfield
ecclesia college,AR,Springdale
employment solutions-college for technical education,KY,Lexington
estelle medical academy,IL,Skokie
evergreen beauty and barber college-everett,WA,Everett
paul mitchell the school-great lakes,MI,Port Huron
healthcare training institute,NJ,Union
john d rockefeller iv career center,WV,New Cumberland
los angeles college of music,CA,Pasadena
rosslyn training academy of cosmetology,PR,Aguada
sae institute of technology-nashville,TN,Nashville
southern technical college,FL,Orlando
stanbridge university,CA,Irvine
universal college of healing arts,NE,Omaha
uta mesivta of kiryas joel,NY,Monroe
harrisburg university of science and technology,PA,Harrisburg
blue ridge community and technical college,WV,Martinsburg
daytona college,FL,Ormond Beach
delta technical college-mississippi,MS,Horn Lake
united states university,CA,San Diego
empire beauty school-avondale,AZ,Avondale
empire beauty school-littleton,CO,Littleton
empire beauty school-aurora,CO,Aurora
joyce university of nursing and health sciences,UT,Draper
san joaquin valley college-modesto,CA,Salida
eagle gate college-layton,UT,Layton
academy of hair design-jasper,TX,Jasper
unitech training academy-west monroe,LA,West Monroe
new river community and technical college,WV,Beaver
the college of health care professions-southwest houston,TX,Houston
uei college-chula vista,CA,Chula Vista
uei college-west covina,CA,West Covina
georgia gwinnett college,GA,Lawrenceville
phoenix institute of herbal medicine & acupuncture,AZ,Phoenix
tucson college of beauty,AZ,Tucson
california career college,CA,Canoga Park
palladium technical academy inc,CA,Temple City
los angeles college of aesthetics,CA,Los Angeles
national polytechnic college,CA,Lakewood
american career college-ontario,CA,Ontario
asher college,CA,Sacramento
american institute of massage therapy,CA,Santa Ana
university of east-west medicine,CA,Sunnyvale
blake austin college,CA,Vacaville
aviator college of aeronautical science and technology,FL,Fort Pierce
trendsetters school of beauty & barbering,FL,Jacksonville
american institute of beauty,FL,Largo
north florida cosmetology institute,FL,Tallahassee
florida academy of health & beauty,FL,Oakland Park
augusta school of massage,GA,Evans
ata college,KY,Louisville
sum bible college and theological seminary,CA,El Dorado Hills
compass career college,LA,Hammond
hair expressions academy,MD,Rockville
nuvo college of cosmetology,MI,Norton Shores
wellspring school of allied health-kansas city,MO,Kansas City
the salon professional academy-fargo,ND,Fargo
aveda arts & sciences institute-new york,NY,New York
myrangel beauty institute,PR,San Lorenzo
texas health school,TX,Houston
paul mitchell the school-logan,UT,Logan
careers unlimited,UT,Orem
mountainland technical college,UT,Lehi
avi career training,VA,Great Falls
mountain state school of massage,WV,Charleston
san joaquin valley college-rancho cordova,CA,Rancho Cordova
broken arrow beauty college,OK,Tulsa
universal technical institute of northern california inc,CA,Sacramento
west hills college-lemoore,CA,Lemoore
stautzenberger college-brecksville,OH,Brecksville
unitech training academy-houma,LA,Houma
rasmussen university-illinois,IL,Rockford
international institute for restorative practices,PA,Bethlehem
automotive training center-warminster,PA,Warminster
empire beauty school-milwaukee,WI,Milwaukee
triangle tech inc-bethlehem,PA,Bethlehem
milan institute-clovis,CA,Clovis
strayer university-florida,FL,Tampa
pima medical institute-renton,WA,Renton
cbt technology institute-main campus,FL,Miami
cbt technology institute-hialeah,FL,Hialeah
dewey university-juana diaz,PR,Juana Diaz
the college of health care professions-san antonio,TX,San Antonio
brittany beauty academy,NY,Bronx
lincoln technical institute-whitestone,NY,Whitestone
american public university system,WV,Charles Town
huntsville bible college,AL,Huntsville
beaumont adult school,CA,Beaumont
gnomon,CA,Hollywood
coachella valley beauty college,CA,La Quinta
valley college of medical careers,CA,West Hills
academy of natural therapy inc,CO,Greeley
academy di capelli-school of cosmetology,CT,Wallingford
delaware learning institute of cosmetology,DE,Dagsboro
dragon rises college of oriental medicine,FL,Gainesville
palm beach academy of health & beauty,FL,Lake Park
saber college,FL,Miami
taylor college,FL,Belleview
pensacola school of massage therapy & health careers,FL,Pensacola
ideal beauty academy,IN,Jeffersonville
denmark college,IN,Merrillville
louisiana culinary institute,LA,Baton Rouge
bais medrash toras chesed,NJ,Lakewood
ace institute of technology,NY,New York
new age training,NY,New York
dayton school of medical massage,OH,Dayton
ata college,OK,Tulsa
visible music college,TN,Memphis
cci training center-arlington,TX,Arlington
champion beauty college,TX,Houston
southeast texas career institute,TX,Silsbee
southwest technical college,UT,Cedar City
virginia beach theological seminary,VA,Virginia Beach
milwaukee career college,WI,Milwaukee
university of the west,CA,Rosemead
american college of education,IN,Indianapolis
south university-tampa,FL,Tampa
milan institute of cosmetology-san antonio military,TX,San Antonio
appalachian college of pharmacy,VA,Oakwood
paul mitchell the school-tampa,FL,Tampa
paul mitchell the school-san diego,CA,San Diego
paul mitchell the school-michigan,MI,Sterling Heights
paul mitchell the school-sherman oaks,CA,Sherman Oaks
paul mitchell the school-tysons corner,VA,McLean
fortis college-columbus,OH,Westerville
fortis college-cincinnati,OH,Cincinnati
blue cliff college-fayetteville,AR,Fayetteville
blue cliff college-alexandria,LA,Alexandria
strayer university-delaware,DE,Wilmington
brite divinity school,TX,Fort Worth
strayer university-alabama,AL,Birmingham
brown aveda institute-strongsville,OH,Strongsville
clary sage college,OK,Tulsa
rasmussen university-wisconsin,WI,Green Bay
empire beauty school-richmond,VA,Richmond
empire beauty school-north hills,PA,Pittsburgh
empire beauty school-concord,NC,Concord
lexington healing arts academy,KY,Lexington
empire beauty school-hooksett,NH,Hooksett
the institute of beauty and wellness,WI,Milwaukee
carrington college-stockton,CA,Stockton
carrington college-citrus heights,CA,Citrus Heights
euphoria institute of beauty arts & sciences-summerlin,NV,Las Vegas
columbia southern university,AL,Orange Beach
arizona culinary institute,AZ,Scottsdale
healthcare career college,CA,Paramount
coastline beauty college,CA,Fountain Valley
branford academy of hair and cosmetology,CT,Branford
academy of massage and bodywork,DE,Bear
academy for five element acupuncture,FL,Gainesville
academy of career training,FL,Kissimmee
miami regional university,FL,Miami Springs
paul mitchell the school-miami,FL,Miami
aveda institute-south florida,FL,Davie
aveda institute-tallahassee,FL,Tallahassee
shear excellence hair academy,FL,Tampa
carlson college of massage therapy,IA,Anamosa
mycomputercareer at indianapolis,IN,Indianapolis
z hair academy,KS,Overland Park
digrigoli school of cosmetology,MA,West Springfield
elevate salon institute,MI,Royal Oak
lakewood school of therapeutic massage,MI,Port Huron
the salon professional academy-battle creek,MI,Battle Creek
trend setters school,MO,Cape Girardeau
academy of hair design-springfield,MO,Springfield
corinth academy of cosmetology,MS,Corinth
southeastern college-charlotte,NC,Charlotte
yeshivas be'er yitzchok,NJ,Elizabeth
yeshiva toras chaim,NJ,Lakewood
talmudical seminary of bobov,NY,Brooklyn
center for allied health education,NY,Brooklyn
monroe 2 orleans boces-center for workforce development,NY,Rochester
aveda fredric's institute-cincinnati,OH,West Chester
mycomputercareer at columbus,OH,Westerville
cde career institute,PA,Tannersville
instituto educativo premier,PR,Ponce
charleston school of law,SC,Charleston
elite college of cosmetology,TN,Lexington
manuel and theresa's school of hair design-bryan,TX,Bryan
southwest university at el paso,TX,El Paso
paul mitchell the school-austin,TX,Austin
aveda institute-provo,UT,Provo
dixie technical college,UT,Saint George
victoria's academy of cosmetology,WA,Kennewick
paul mitchell the school-san antonio,TX,San Antonio
cem college-bayamon,PR,Bayamón
bryant & stratton college-wauwatosa,WI,Wauwatosa
the art institute of austin,TX,Bastrop
remington college-houston southeast campus,TX,Webster
remington college-shreveport campus,LA,Shreveport
jenny lea academy of cosmetology,TN,Johnson City
patrick henry college,VA,Purcellville
the hair academy,ND,Bismarck
ross medical education center-new baltimore,MI,New Baltimore
ross college-sylvania,OH,Sylvania
escuela de troqueleria y herramentaje,PR,Bayamon
fortis institute-nashville,TN,Nashville
ata college-cincinnati,OH,Cincinnati
dental assistant pro llc-columbus,OH,Westerville
dental assistant pro-lebanon,OH,Lebanon
elite welding academy llc,OH,Cincinnati
galen college of nursing-cincinnati,OH,Cincinnati
strayer university-north carolina,NC,Greensboro
strayer university-new jersey,NJ,Piscataway
international culinary arts and sciences institute,OH,Chesterland
ohio media school-columbus,OH,Columbus
ohio medical career college,OH,Dayton
the king's college,NY,New York
chamberlain university-illinois,IL,Addison
chamberlain university-ohio,OH,Columbus
chamberlain university-arizona,AZ,Phoenix
the salon professional academy-appleton,WI,Appleton
milan institute of cosmetology-vacaville,CA,Vacaville
milan institute of cosmetology-reno,NV,Reno
ottawa university-online,KS,Ottawa
paul mitchell the school-esani,GA,Roswell
paul mitchell the school-birmingham,AL,Hoover
taft university system,CO,Lakewood
mayfield college,CA,Cathedral City
academy of esthetics and cosmetology,CA,San Fernando
borner's barber college,CA,Los Angeles
paul mitchell the school-pasadena,CA,Pasadena
san francisco institute of esthetics & cosmetology inc,CA,San Francisco
laurus college,CA,San Luis Obispo
healing hands school of holistic health,CA,Escondido
career development institute inc,CA,Los Angeles
auguste escoffier school of culinary arts-boulder,CO,Boulder
aspen university,AZ,Phoenix
institute of taoist education and acupuncture,CO,Louisville
denver college of nursing,CO,Denver
cambridge college of healthcare & technology,FL,Delray Beach
cozmo beauty school,FL,Bonita Springs
celebrity school of beauty,FL,Miami
paul mitchell the school-atlanta,GA,Atlanta
evans hairstyling college-rexburg,ID,Rexburg
paul mitchell the school-rexburg,ID,Rexburg
university of aesthetics & cosmetology,IL,Chicago
the university of aesthetics & cosmetology,IL,Downers Grove
tricoci university of beauty culture-chicago nw,IL,Chicago
tricoci university of beauty culture-glendale heights,IL,Glendale Heights
tricoci university of beauty culture-peoria,IL,Peoria
tricoci university of beauty culture-rockford,IL,Rockford
omega studios' school of applied recording arts & sciences,MD,Rockville
french academy of cosmetology,MI,Spring Lake
healing arts center,MO,St. Louis
paul mitchell the school-springfield,MO,Springfield
urshan graduate school of theology,MO,Wentzville
mississippi institute of aesthetics nails & cosmetology,MS,Clinton
college of western idaho,ID,Nampa
aveda institute-chapel hill,NC,Chapel Hill
daoist traditions college of chinese medical arts,NC,Asheville
total image beauty academy,NJ,Union City
jersey college,NJ,Teterboro
american institute of medical sciences & education,NJ,Piscataway
casal institute of nevada,NV,Las Vegas
career school of ny,NY,Staten Island
yeshiva of machzikai hadas,NY,Brooklyn
aveda institute-columbus,OH,Columbus
paul mitchell the school-cincinnati,OH,Cincinnati
hands on therapy,TX,Mesquite
mediatech institute-dallas,TX,Dallas
aveda arts & sciences institute-san antonio,TX,San Antonio
skin science institute,UT,Sandy
pacific northwest university of health sciences,WA,Yakima
the chicago school of professional psychology at anaheim,CA,Anaheim
fortis college-dothan,AL,Dothan
fortis institute-pensacola,FL,Pensacola
fortis college-montgomery,AL,Montgomery
woodland community college,CA,Woodland
fortis institute-birmingham,AL,Birmingham
the chicago school of professional psychology at los angeles,CA,Los Angeles
cardiac and vascular institute of ultrasound,AL,Mobile
studio academy of beauty,AZ,Chandler
california nurses educational institute,CA,Palm Springs
paul mitchell the school-sacramento,CA,Sacramento
providence christian college,CA,Pasadena
oxford academy of hair design inc,CT,Seymour
institute of world politics,DC,Washington
pontifical john paul ii institute for studies on marriage and family,DC,Washington
medical institute of palm beach,FL,Greenacres
oliver finley academy of cosmetology,ID,Boise
national career college,CA,Panorama City
aveda institute-chicago,IL,Chicago
tricoci university of beauty culture-libertyville,IL,Libertyville
tricoci university of beauty culture-bridgeview,IL,Bridgeview
the temple-a paul mitchell partner school,MD,Frederick
center for massage,NC,Asheville
the academy of hair design llc,OK,Oklahoma City
toni & guy hairdressing academy-cranston,RI,Cranston
south texas training center,TX,San Benito
columbia college,VA,Vienna
vermont college of fine arts,VT,Montpelier
advanced welding institute,VT,South Burlington
paul mitchell the school-memphis,TN,Memphis
pima medical institute-east valley,AZ,Mesa
paul mitchell the school-cleveland,OH,Twinsburg
paul mitchell the school-columbus,OH,Columbus
empire beauty school-spring lake park,MN,Spring Lake Park
mediatech institute-houston,TX,Houston
miller-motte college-raleigh,NC,Raleigh
lamson institute,TX,San Antonio
college of hair design-east campus,NE,Lincoln
fortis college-salt lake city,UT,Salt Lake City
polytechnic university of puerto rico-miami,FL,Miami
polytechnic university of puerto rico-orlando,FL,Orlando
ross medical education center-fort wayne,IN,Fort Wayne
ross medical education center-battle creek,MI,Battle Creek
geisinger commonwealth school of medicine,PA,Scranton
josef's school of hair skin & body-fargo,ND,Fargo
miller-motte college-mccann-allentown,PA,Allentown
salon success academy-fontana,CA,Fontana
salon success academy-redlands,CA,Redlands
strayer university-west virginia,WV,Scott Depot
paul mitchell the school-baton rouge,LA,Baton Rouge
san joaquin valley college-hesperia,CA,Hesperia
south texas vocational technical institute-brownsville,TX,Brownsville
miller-motte college-stvt-corpus christi,TX,Corpus Christi
university of minnesota-rochester,MN,Rochester
health and style institute,NC,Greensboro
cbt technology institute-cutler bay,FL,Cutler Bay
capri beauty college,IL,New Lenox
milan institute-bakersfield,CA,Bakersfield
homestead schools,CA,Torrance
carrington college-las vegas,NV,Las Vegas
carrington college-reno,NV,Reno
chamberlain university-florida,FL,Jacksonville
washington barber college inc,AR,Little Rock
intercoast colleges-rancho cordova,CA,Rancho Cordova
horizon university,IN,Indianapolis
beyond 21st century beauty academy,CA,Santa Fe Springs
academy for jewish religion-california,CA,Los Angeles
angeles college,CA,Los Angeles
angeles institute,CA,ARTESIA
paul mitchell the school-temecula,CA,Temecula
tigi hairdressing academy guilford,CT,Guilford
